playing,player,team,fallen,x,y,theta,ballage,ballx,bally,secsremaining,goodego
false,7,5,false,-2850.0005,-3000.0007,-2.233086,1691.686,88.431496,-277.94052,600,True
false,5,5,false,-698.3428,-3187.9932,1.612375,1663.427,-305.4287,506.63083,600,True
false,1,5,false,-3907.6921,3031.307,-1.5587957,1697.137,730.58636,376.99747,600,True
false,9,5,true,-3900.0005,-3000.0007,-1.7676226,-1.0,0.0,0.0,600,True
false,2,5,false,-2852.095,2995.6804,-1.5287375,1721.959,1573.1942,-3184.7585,600,True
false,7,13,false,-1907.4698,-3077.342,1.0163563,-1.0,-10.0,-10.0,600,True
false,6,13,false,1078.7446,-3078.0117,1.8632591,-1.0,-10.0,-10.0,600,True
false,3,5,false,-1822.9673,3000.0007,-1.5444387,70.795,-72.7067,-833.57526,600,True
false,2,13,false,-1828.1815,3062.079,-1.0353764,-1.0,-10.0,-10.0,600,True
false,8,5,true,-3900.0005,-3000.0007,3.0681717,1952.861,69.792175,67.36775,600,True
false,4,5,false,-750.0001,3000.0007,0.51327074,1690.753,6397.9883,2414.182,600,True
false,3,13,false,-2359.352,2877.9285,-1.8231966,-1.0,-10.0,-10.0,600,True
false,1,13,false,-3251.2844,-2880.3225,1.3954756,-1.0,-10.0,-10.0,600,True
false,6,5,false,-1735.6611,-2998.0552,1.6044352,1717.521,2441.1611,-1905.3895,600,True
false,7,5,false,-2883.3586,-3026.5046,1.624715,1692.686,88.202896,-278.013,600,True
false,5,5,false,-733.6259,-3070.7834,1.6019187,1664.457,-303.8583,507.57422,600,True
false,1,5,false,-3906.0933,3013.6877,-1.5511581,1698.153,731.21014,375.78653,600,True
false,9,5,true,-3900.0005,-3000.0007,-1.7676226,-1.0,0.0,0.0,600,True
false,2,5,false,-2857.282,2996.362,-1.5252292,1722.959,1584.5066,-3179.1445,600,True
false,6,13,false,-1055.599,3060.9067,-1.3250908,-1.0,-10.0,-10.0,600,True
false,4,5,false,-668.3489,3021.3894,-1.4946223,1691.78,6399.8677,2409.1958,600,True
false,7,13,false,-1865.8792,-2962.405,1.2530113,-1.0,-10.0,-10.0,600,True
false,2,13,false,-1770.5055,2957.584,-1.3597008,-1.0,-10.0,-10.0,600,True
false,8,5,true,-3900.0005,-3000.0007,3.0678632,1953.864,69.77128,67.38943,600,True
false,3,5,false,-1825.9739,3000.0007,-1.5353262,71.811,-80.12921,-832.89417,600,True
false,3,13,false,-2359.352,2877.9285,-1.8245207,-1.0,-10.0,-10.0,600,True
false,1,13,false,-3286.5383,-2904.8896,1.5348061,-1.0,-10.0,-10.0,600,True
false,6,5,false,-1740.7906,-3041.2075,1.6074501,1718.553,2438.593,-1908.6733,600,True
false,7,5,false,-2896.685,-3013.0317,1.6251044,1693.706,86.86321,-278.43448,600,True
false,5,5,false,-725.863,-3064.2983,1.5930638,1665.457,-304.54694,507.16132,600,True
false,1,5,false,-3907.7644,3012.452,-1.5515541,1699.169,729.62524,378.85443,600,True
false,2,5,false,-2857.282,2996.362,-1.523543,1723.982,1579.2921,-3181.7378,600,True
false,6,13,false,-1052.896,2875.084,-1.6435785,-1.0,-10.0,-10.0,600,True
false,7,13,false,-1861.4976,-2781.2952,1.6631591,-1.0,-10.0,-10.0,600,True
false,2,13,false,-1769.9045,2795.5571,-1.8094146,-1.0,-10.0,-10.0,600,True
false,3,5,false,-1825.9739,3000.0007,-1.53573,72.827,-79.82045,-832.92365,600,True
false,8,5,true,-3900.0005,-3000.0007,3.0678895,1954.864,69.772766,67.38791,600,True
false,9,5,true,-3900.0005,-3000.0007,-1.7676226,-1.0,0.0,0.0,600,True
false,3,13,false,-2359.352,2877.9285,-1.8251992,-1.0,-10.0,-10.0,600,True
false,1,13,false,-3319.0896,-2723.1655,1.6678786,-1.0,-10.0,-10.0,600,True
false,4,5,false,-662.74066,3069.95,-1.5452826,1692.78,6383.2837,2452.7969,600,True
false,6,5,false,-1749.8468,-3030.4126,1.6087735,1719.553,2435.609,-1912.4786,600,True
false,7,5,false,-2895.7185,-3016.8528,1.6234795,1694.706,86.9152,-278.41824,600,True
false,5,5,false,-734.2847,-3065.9883,1.5986633,1666.459,-304.59625,507.13177,600,True
false,1,5,false,-3906.616,3012.4417,-1.5523051,1700.185,730.0044,378.1234,600,True
false,9,5,true,-3900.0005,-3000.0007,-1.7676226,-1.0,0.0,0.0,600,True
false,2,5,false,-2865.911,3019.31,-1.5215701,1724.982,1578.2385,-3182.2607,600,True
false,6,13,false,-1079.5858,2628.912,-1.5731554,-1.0,-10.0,-10.0,600,True
false,7,13,false,-1906.4503,-2557.997,1.7172921,-1.0,-10.0,-10.0,600,True
false,4,5,false,-667.9448,3085.2126,-1.5491536,1693.784,6384.3394,2450.0466,600,True
